Time,atrium,kitchen,livingroom,toilet,bedroom,bel(A),bel(K),bel(L),bel(T),bel(B)
687.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
688.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
689.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
690.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
691.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
692.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
693.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
694.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
695.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
696.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
697.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
698.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
699.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
700.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
701.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
702.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
703.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
704.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
705.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
706.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
707.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
708.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
709.0,1,1,0,0,0,0.4200246547016251,0.2567087961612895,0.11079537923172769,0.11079537923172769,0.10167579067363007
710.0,1,0,0,0,0,0.4490933432305612,0.14043404204554494,0.13986406776066382,0.13986406776066385,0.13074447920256624
711.0,1,0,0,0,0,0.44124479732774846,0.14012518722992498,0.13955521294504386,0.1395552129450439,0.1395195895522388
712.0,1,0,0,0,0,0.4433639047215079,0.139169599514362,0.1391673730523117,0.1391673730523117,0.13913174965950664
713.0,1,0,0,0,0,0.4427917457251928,0.13930376820370904,0.13930154174165874,0.13930154174165874,0.1393014025877806
714.0,1,0,0,0,0,0.4429462286541979,0.13926348414775808,0.13926347545064072,0.13926347545064072,0.13926333629676255
715.0,1,0,0,0,0,0.4429045182633666,0.13927387709288885,0.13927386839577147,0.1392738683957715,0.13927386785220164
716.0,1,0,0,0,0,0.4429157800688911,0.13927105514414956,0.13927105511017646,0.13927105511017646,0.1392710545666066
717.0,1,0,0,0,0,0.4429127393813994,0.1392718151806608,0.1392718151466877,0.1392718151466877,0.13927181514456438
